|File|Annotation|Comment|Text|Page
32|data/FDP-Bbg-2024 - Copy.docx|P2||Den Bau neuer Radwege neben bestehenden Straßen werden wir ohneUmweltverträglichkeitsprüfung ermöglichen|32
33|data/FDP-Bbg-2024 - Copy.docx|P2| autonom|Wir setzen uns dafür ein, die Vision des abrufbereiten, autonomen ÖPNV in Brandenburg zur Realität zu machen|33
34|data/FDP-Bbg-2024 - Copy.docx|P2| autonom|In den nächsten Jahren werden die Flugtaxis in den Markt eintreten. Wir werden dafür sorgen, dass Brandenburg als eines der ersten Länder von den Vorteilen dieses neuen Verkehrsträgers profitiert|33
35|data/FDP-Bbg-2024 - Copy.docx|P2| Bahn|Die Schaffung eines zweiten Bahn-Rings um Berlin werden wir zügig angehen.|33
36|data/FDP-Bbg-2024 - Copy.docx|P2| Bahn|Mit der Reaktivierung alter Bahnstrecken werden wir insbesondere ländliche Regionen mit einem neuen Angebot an schnellen Verbindungen zu regionalen Zentren stärken|33
37|data/FDP-Bbg-2024 - Copy.docx|P2| Bahn|Wir werden die Elektrifizierung wichtiger Bahnstrecken in Brandenburg über den aktuellen Bundesverkehrswegeplan hinaus voranbringen|33
38|data/FDP-Bbg-2024 - Copy.docx|P2| Bahn|Wir haben Mut zur Veränderung und Lust auf Zukunft. Das schließt auch neue und innovativeVerkehrskonzepte wie beispielsweise den Hyperloop ein. |34
39|data/FDP-Bbg-2024 - Copy.docx|P2| Luft|Wir werden den Flughafen Berlin Brandenburg deutlich effizienter an die Schiene anbinden|34
40|data/FDP-Bbg-2024 - Copy.docx|P2| Luft|Wir setzen uns dafür ein, Brandenburg zum Vorreiter bei der Entwicklung und der Produktion von emissionsfreien Antriebsstoffen für Flugzeuge zu machen. Dafür werden wir die weitere Erforschung fördern, insbesondere aber die Infrastruktur für die Herstellung von klimaneutralen Kraftstoffen enorm ausbauen|34
41|data/FDP-Bbg-2024 - Copy.docx|P2| Luft|Einseitige und wettbewerbsverzerrende Belastungen, wie die Luftverkehrssteuer, werden wir abschaffen|34
42|data/FDP-Bbg-2024 - Copy.docx|P2| Luft|Ein pauschales Verbot von Kurzstreckenflügen lehnen wir ab. Genauso lehnen wir ein Verbot von sogenannten Low-Cost-Carriern, die Flüge kostengünstig anbieten, ab|34
43|data/FDP-Bbg-2024 - Copy.docx|P2| Luft|Wir setzen uns für eine vollständige Privatisierung der „Flughafen Berlin-Brandenburg GmbH“ durch den Verkauf aller staatlichen Unternehmensanteile an einen spezialisiertenFlughafenbetreiber ein|34
44|data/FDP-Bbg-2024 - Copy.docx|P5| (ganz wenig zu Artenschutz)|Wir werden auch bei Verkehrsprojekten auf mehr Standardisierungen im Artenschutz hinwirken, um das Planen weiter zu erleichtern und zu beschleunigen. Wir werden prüfen, wie Ausgleichsmaßnahmen zum Artenschutz vereinfacht und umgesetzt werden können.|36
45|data/FDP-Bbg-2024 - Copy.docx|P3||Wir werden die Chancen des Strukturwandels in der Lausitz ergreifen und die Potentiale der Region heben. Auf die Einhaltung von Zusagen des Kohlekompromisses werden wir drängen und die zur Verfügung gestellten Finanzmittel vollständig abrufen|71
46|data/FDP-Bbg-2024 - Copy.docx|P1||Als Flächenland und Pionier in Erneuerbaren Energien streben wir danach, Brandenburg an der Spitze der klimafreundlichen Energiewende zu etablieren.|72
47|data/FDP-Bbg-2024 - Copy.docx|P1||Das Land wird mit uns ein wichtiger Energieexporteur bleiben. Unser Ziel ist es, das Potenzial unserer Fläche vollständig auszuschöpfen und in den Bereichen Wind, Solar und Wasserstoff zu investieren|72
48|data/FDP-Bbg-2024 - Copy.docx|P1||Einen einseitigen vorzeitigen Kohleausstieg lehnen wir ab. |72
49|data/FDP-Bbg-2024 - Copy.docx|P1| und auch |Wir setzen uns dafür ein, dass die Lausitz weiterhin eine wichtige Energieregion bleibt. Eine Veränderung des Kohleausstiegspfads kann nur zusammen mit allen beteiligten Partnern (Bund, Land, Kommunen und Unternehmen) erfolgen.|FEHLER - kein Eintrag gefunden
50|data/FDP-Bbg-2024 - Copy.docx|P1||Die Wärmewende bildet in der Energiewende die größte Herausforderung und betrifft fast jeden Haushalt. Wir werden die Kommunen intensiv bei der Entwicklung passgenauer Konzepte unterstützen, die die Bevölkerung nicht überfordern|73
51|data/FDP-Bbg-2024 - Copy.docx|P1||Wir sehen das große Potenzial von Wasserstoff und setzen uns dafür ein, Brandenburg in ein führendes Wasserstoffland zu transformieren|73
52|data/FDP-Bbg-2024 - Copy.docx|P1||Wir setzen uns dafür ein, dass sich Brandenburg zu einem zentralen Standort entwickelt, an dem Methan, Ammoniak und synthetische Treibstoffe synthetisiert werden|73
53|data/FDP-Bbg-2024 - Copy.docx|P1||Wir engagieren uns dafür, zügige Genehmigung von Kavernen für die Wasserstoffspeicherung zu ermöglichen und die Umnutzung bestehender Erdgaskavernen zu erlauben. |73
54|data/FDP-Bbg-2024 - Copy.docx|P1||Wir befürworten die Nutzung von Wasserstoff als Treibstoff in der ÖPNV-Flottenumrüstung bis 2026 und unterstützen den technologieoffenen Wettbewerb für Fahrzeuganschaffungen, ohne Festlegung auf eine bestimmte Technologie wie Batterieantriebe. Dabei soll die wirtschaftliche Effizienz der Antriebsform entscheidend sein.|73
55|data/FDP-Bbg-2024 - Copy.docx|P4||Unser Ziel ist es, einen klimaangepassten und umweltfreundlichen Waldumbau zu fördern, ohne den wirtschaftlichen Nutzen zu vernachlässigen.|75
56|data/FDP-Bbg-2024 - Copy.docx|P4||Wir engagieren uns dafür, die Balance zwischen optimaler Baumartenmischung und gewinnorientierter Bewirtschaftung zu finden, um so auch der Industrie die Möglichkeit zu geben, zum nachhaltigen Erhalt der Wälder beizutragen. Dies umfasst Maßnahmen wie dieNeugestaltung von Waldrändern mit Büschen und Sträuchern sowie die natürlicheVerjüngung während Bewirtschaftungspausen. Wir lehnen zunehmendeBewirtschaftungseinschränkungen und Stilllegungen von Wäldern sowie den Bau von Windkraftanlagen in intakten Waldgebieten ab.|75
57|data/FDP-Bbg-2024 - Copy.docx|P4||Wir engagieren uns für die flächendeckende Einführung heimischer Baum- und Buscharten, um widerstandsfähige Mischkulturen und damit klimaresistentere Wälder zu schaffen. Dies umfasst das Aufbrechen von dichten Kieferkulturen und die Einbeziehung von Mischarten.|75
58|data/FDP-Bbg-2024.docx|P3||Gleichzeitig werden wir uns für eine beschleunigte Schaffung neuer Kita-Plätze einsetzen|5
59|data/FDP-Bbg-2024.docx|P2| |Egal ob in Krippe, Kindergarten oder Hort.|5
60|data/FDP-Bbg-2024.docx|P4||Zur Unterstützung von Eltern in Schicht- und Nachtarbeit werden wir 24-Stunden-Kitas fördern|5
61|data/FDP-Bbg-2024.docx|P7||Kinder, die zum Zeitpunkt der Einschulung noch nicht über ausreichende Deutschkenntnisse verfügen, werden wir gezielt fördern|5
62|data/FDP-Bbg-2024.docx|P2||Darüber hinaus werden wir multiprofessionelle Teams aufbauen.|6
63|data/FDP-Bbg-2024.docx|P4||Wir werden mehr bilinguale Kita-Plätze schaffen.|6
64|data/FDP-Bbg-2024.docx|P3| alles sehr allgemein|Herausforderungen wie den Strukturwandel in der Lausitz oder die Gestaltung der Metropolregion nehmen wir gemeinsam mit den Brandenburgerinnen und Brandenburger an. Für uns stehen dabei vor allem die Chancen zur Gestaltung unserer vielseitigen Regionen im Vordergrund. Wir glauben, dass in dem Transformationsprozess der nächsten Jahre unzählige Chancen auf Brandenburg warten, die wir ergreifen wollen.|20
65|data/FDP-Bbg-2024.docx|P3| „Transformation“ kommt nicht vor|Wir werden Brandenburg zu einer Freiheitszone für Unternehmen entwickeln. Wir setzen für beste wirtschaftliche Rahmenbedingungen ein, um die Gründung und Ansiedlung junger, forschungsintensiver Unternehmen zu erleichtern und Handwerk und Mittelstand den Rücken frei zu halten. Dazu gehört insbesondere eine möglichst niedrige Steuerbelastung, |20
66|data/FDP-Bbg-2024.docx|P3||Oberste Priorität unserer Wirtschaftspolitik ist der konsequente Bürokratieabbau|22
67|data/FDP-Bbg-2024.docx|P3||Wir werden es mit den Startup- und Gründungsstandorten Deutschlands aufnehmen! |23
68|data/FDP-Bbg-2024.docx|P4||Aufgrund des Ausbaus erneuerbarer Energien steigt die Rivalität mit der Landwirtschaft um freie Flächen. Wir wollen ein faires Miteinander und eine Interessenausgleich schaffen, Landwirte dürfen nicht einseitig das Nachsehen haben. Gerade die Doppelnutzung von Photovoltaik und landwirtschaftlichen Betrieben kann das Miteinander der Flächennutzung vereinen.|27
69|data/FDP-Bbg-2024.docx|P4||Wir setzen uns für eine vielfältige Landwirtschaft ein und wollen die regionale landwirtschaftliche Produktion erhalten und stärken. Ein besonderer Fokus wird der Bio-Diversität zukommen. Wir befürworten dasNebeneinander von konventioneller und ökologischer Landwirtschaft. Zielmarken und Quoten für den ökologischen Landbau lehnen wir ab.|27
70|data/FDP-Bbg-2024.docx|P4||Wir setzen uns aufBundesebene für eine Reform der Pflanzenschutz-Anwendungsverordnung und desInsektenschutzprogramms ein, denn in ihrer bisherigen Form unterstützen sie die Landwirtschaft nicht, sie machen sie zunehmend unmöglich.|27
71|data/FDP-Bbg-2024.docx|P4||Wir stellen uns der im Zuge der Gemeinsamen Agrarpolitik (GAP) festgelegten Flächenstilllegung entschieden entgegen. Weitere Eingriffe in die Eigentumsrechte vonLandwirtinnen und Landwirten werden wir auf allen politischen Ebenen zurückweisen.|FEHLER - kein Eintrag gefunden
72|data/FDP-Bbg-2024.docx|P4| und auch |Um die Artenvielfalt zu erhalten, wollen wir eine kontinuierliche Anlage von Hecken an Straßenrändern durchsetzen, Straßenbankette an Landstraßen müssen erhalten bleiben und dürfen nicht abgemäht werden.|28
73|data/FDP-Bbg-2024.docx|P4||Für jede neue Regulierung werden wir eine bisherige Anforderung streichen, um die Belastung nicht weiter ansteigen zu lassen.|28
74|data/FDP-Bbg-2024.docx|P4||Wir werden sicherstellen, dass staatliche Vorgaben zur landwirtschaftlichenUmstrukturierung langfristig angelegt sind und 20 Jahre Bestand haben müssen. |28
75|data/FDP-Bbg-2024.docx|P4||Wir werden in Kitas und Schulen bereits früh Wissen über Ernährung und Landwirtschaft vermitteln. |28
76|data/FDP-Bbg-2024.docx|P4||Brandenburg ist ein Agrarland mit langer Tradition. Um das zu bleiben, werden wir moderneTechnologien unterstützen und fördern. Dazu gehören neben der vertikalen Landwirtschaftauch neue Züchtungstechniken sowie Bioreaktoren zur Herstellung von künstlicher Milch und künstlichem Fleisch.|FEHLER - kein Eintrag gefunden
77|data/FDP-Bbg-2024.docx|P5| einziger koinkreter Hinweis auf Biodiversität|Anglerinnen und Angler leisten einen unverzichtbaren Beitrag zum Schutz der Gewässer. Ihre Arbeit ist entscheidend für die Erhaltung der Biodiversität|29
78|data/FDP-Bbg-2024.docx|P2||Wir schreiben niemandem vor, wie sie oder er sich fortbewegen soll.|29
79|data/FDP-Bbg-2024.docx|P2||Wir werden die Klimaneutralität aller Verkehrsmittel vorantreiben. Hierbei setzen wir auch Technologieoffenheit und Erfindertum statt auf Verbote|29
80|data/FDP-Bbg-2024.docx|P2||Wir werden den Investitionsstau im brandenburgischen Straßen- und Schienennetz lösen und so die Weichen für eine klimaneutrale Mobilität der Zukunft stellen.|29
81|data/FDP-Bbg-2024.docx|P2| Auto|Den Kulturkampf gegen das Auto lehnen wir ab.|30
82|data/FDP-Bbg-2024.docx|P2| Auto|Wir stellen uns gegen unverhältnismäßige Verbote in der Mobilität. Wir setzen auf Innovationen, Vernunft und Freiheit. Die Einführung von Fahrverboten und pauschalen Tempolimits lehnen wir ab.|30
83|data/FDP-Bbg-2024.docx|P2| Auto|Die Schlechterstellung des Autos durch das Mobilitätsgesetz Brandenburg werden wir rückgängig machen|30
84|data/FDP-Bbg-2024.docx|P2| Auto|Den flächendeckenden Ausbau einer leistungsstarken Infrastruktur – wie etwa Ladesäulen für die Elektromobilität und Wasserstofftankstellen – werden wir vorantreiben.|30
85|data/FDP-Bbg-2024.docx|P2| generall eher allg. Aussagen zu öpnv|Wir machen uns für einen zuverlässigen ÖPNV mit attraktiven Verbindungen stark.|31
86|data/FDP-Bbg-2024.docx|P2||Für alle Schülerinnen und Schüler bis einschließlich der 13. Jahrgangsstufe soll das Land Brandenburg schrittweise die Schulwegkosten übernehmen.|31
87|data/FDP-Bbg-2024.docx|P2||Eine weitere Vergünstigung des Deutschlandtickets lehnen wir ab.|31
88|data/FDP-Bbg-2024.docx|P2| Rad|Wir werden den Ausbau von Fahrradwegen und neuen Fahrradschnellwegen in ganz Brandenburg voranbringen. Mit neuen Radschnellwegen werden wir insbesondere die Anbindung des Umlandes an die urbanen Zentren verbessern|32
89|data/FDP-Bbg-2024.docx|P2| Rad|Popup-Radwege und andere disruptive Maßnahmen hingegen lehnen wir ab|32
90|data/FDP-Bbg-2024.docx|P2||Den Bau neuer Radwege neben bestehenden Straßen werden wir ohneUmweltverträglichkeitsprüfung ermöglichen|32
91|data/FDP-Bbg-2024.docx|P2| autonom|Wir setzen uns dafür ein, die Vision des abrufbereiten, autonomen ÖPNV in Brandenburg zur Realität zu machen|33
92|data/FDP-Bbg-2024.docx|P2| autonom|In den nächsten Jahren werden die Flugtaxis in den Markt eintreten. Wir werden dafür sorgen, dass Brandenburg als eines der ersten Länder von den Vorteilen dieses neuen Verkehrsträgers profitiert|33
93|data/FDP-Bbg-2024.docx|P2| Bahn|Die Schaffung eines zweiten Bahn-Rings um Berlin werden wir zügig angehen.|33
94|data/FDP-Bbg-2024.docx|P2| Bahn|Mit der Reaktivierung alter Bahnstrecken werden wir insbesondere ländliche Regionen mit einem neuen Angebot an schnellen Verbindungen zu regionalen Zentren stärken|33
95|data/FDP-Bbg-2024.docx|P2| Bahn|Wir werden die Elektrifizierung wichtiger Bahnstrecken in Brandenburg über den aktuellen Bundesverkehrswegeplan hinaus voranbringen|33
96|data/FDP-Bbg-2024.docx|P2| Bahn|Wir haben Mut zur Veränderung und Lust auf Zukunft. Das schließt auch neue und innovativeVerkehrskonzepte wie beispielsweise den Hyperloop ein. |34
97|data/FDP-Bbg-2024.docx|P2| Luft|Wir werden den Flughafen Berlin Brandenburg deutlich effizienter an die Schiene anbinden|34
98|data/FDP-Bbg-2024.docx|P2| Luft|Wir setzen uns dafür ein, Brandenburg zum Vorreiter bei der Entwicklung und der Produktion von emissionsfreien Antriebsstoffen für Flugzeuge zu machen. Dafür werden wir die weitere Erforschung fördern, insbesondere aber die Infrastruktur für die Herstellung von klimaneutralen Kraftstoffen enorm ausbauen|34
99|data/FDP-Bbg-2024.docx|P2| Luft|Einseitige und wettbewerbsverzerrende Belastungen, wie die Luftverkehrssteuer, werden wir abschaffen|34
100|data/FDP-Bbg-2024.docx|P2| Luft|Ein pauschales Verbot von Kurzstreckenflügen lehnen wir ab. Genauso lehnen wir ein Verbot von sogenannten Low-Cost-Carriern, die Flüge kostengünstig anbieten, ab|34
101|data/FDP-Bbg-2024.docx|P2| Luft|Wir setzen uns für eine vollständige Privatisierung der „Flughafen Berlin-Brandenburg GmbH“ durch den Verkauf aller staatlichen Unternehmensanteile an einen spezialisiertenFlughafenbetreiber ein|34
102|data/FDP-Bbg-2024.docx|P5| (ganz wenig zu Artenschutz)|Wir werden auch bei Verkehrsprojekten auf mehr Standardisierungen im Artenschutz hinwirken, um das Planen weiter zu erleichtern und zu beschleunigen. Wir werden prüfen, wie Ausgleichsmaßnahmen zum Artenschutz vereinfacht und umgesetzt werden können.|36
103|data/FDP-Bbg-2024.docx|P3||Wir werden die Chancen des Strukturwandels in der Lausitz ergreifen und die Potentiale der Region heben. Auf die Einhaltung von Zusagen des Kohlekompromisses werden wir drängen und die zur Verfügung gestellten Finanzmittel vollständig abrufen|71
104|data/FDP-Bbg-2024.docx|P1||Als Flächenland und Pionier in Erneuerbaren Energien streben wir danach, Brandenburg an der Spitze der klimafreundlichen Energiewende zu etablieren.|72
105|data/FDP-Bbg-2024.docx|P1||Das Land wird mit uns ein wichtiger Energieexporteur bleiben. Unser Ziel ist es, das Potenzial unserer Fläche vollständig auszuschöpfen und in den Bereichen Wind, Solar und Wasserstoff zu investieren|72
106|data/FDP-Bbg-2024.docx|P1||Einen einseitigen vorzeitigen Kohleausstieg lehnen wir ab. |72
107|data/FDP-Bbg-2024.docx|P1| und auch |Wir setzen uns dafür ein, dass die Lausitz weiterhin eine wichtige Energieregion bleibt. Eine Veränderung des Kohleausstiegspfads kann nur zusammen mit allen beteiligten Partnern (Bund, Land, Kommunen und Unternehmen) erfolgen.|FEHLER - kein Eintrag gefunden
108|data/FDP-Bbg-2024.docx|P1||Die Wärmewende bildet in der Energiewende die größte Herausforderung und betrifft fast jeden Haushalt. Wir werden die Kommunen intensiv bei der Entwicklung passgenauer Konzepte unterstützen, die die Bevölkerung nicht überfordern|73
109|data/FDP-Bbg-2024.docx|P1||Wir sehen das große Potenzial von Wasserstoff und setzen uns dafür ein, Brandenburg in ein führendes Wasserstoffland zu transformieren|73
110|data/FDP-Bbg-2024.docx|P1||Wir setzen uns dafür ein, dass sich Brandenburg zu einem zentralen Standort entwickelt, an dem Methan, Ammoniak und synthetische Treibstoffe synthetisiert werden|73
111|data/FDP-Bbg-2024.docx|P1||Wir engagieren uns dafür, zügige Genehmigung von Kavernen für die Wasserstoffspeicherung zu ermöglichen und die Umnutzung bestehender Erdgaskavernen zu erlauben. |73
112|data/FDP-Bbg-2024.docx|P1||Wir befürworten die Nutzung von Wasserstoff als Treibstoff in der ÖPNV-Flottenumrüstung bis 2026 und unterstützen den technologieoffenen Wettbewerb für Fahrzeuganschaffungen, ohne Festlegung auf eine bestimmte Technologie wie Batterieantriebe. Dabei soll die wirtschaftliche Effizienz der Antriebsform entscheidend sein.|73
113|data/FDP-Bbg-2024.docx|P4||Unser Ziel ist es, einen klimaangepassten und umweltfreundlichen Waldumbau zu fördern, ohne den wirtschaftlichen Nutzen zu vernachlässigen.|75
114|data/FDP-Bbg-2024.docx|P4||Wir engagieren uns dafür, die Balance zwischen optimaler Baumartenmischung und gewinnorientierter Bewirtschaftung zu finden, um so auch der Industrie die Möglichkeit zu geben, zum nachhaltigen Erhalt der Wälder beizutragen. Dies umfasst Maßnahmen wie dieNeugestaltung von Waldrändern mit Büschen und Sträuchern sowie die natürlicheVerjüngung während Bewirtschaftungspausen. Wir lehnen zunehmendeBewirtschaftungseinschränkungen und Stilllegungen von Wäldern sowie den Bau von Windkraftanlagen in intakten Waldgebieten ab.|75
115|data/FDP-Bbg-2024.docx|P4||Wir engagieren uns für die flächendeckende Einführung heimischer Baum- und Buscharten, um widerstandsfähige Mischkulturen und damit klimaresistentere Wälder zu schaffen. Dies umfasst das Aufbrechen von dichten Kieferkulturen und die Einbeziehung von Mischarten.|75
